0,在片中《LIFE》杂志闭刊号封面出现的那一刻，我完全被击穿了。
1,喜剧片中将大自然风景拍得最美的、风景片中拍得最富喜剧感的、会拍风景的喜剧片中配乐最燃最激昂的、风景好配乐佳的喜剧片中预告片剪得最热血沸腾的。自导自演的本·斯蒂勒交出了一份令人满意的答卷，用标志性的冷面滑稽演绎了一部献给所有有过白日梦的观众的心灵鸡汤。Stop Dreaming & Start Living
2,不是心灵鸡汤，是我等老男人非常受用的心灵老鸭汤。
3,一万颗星。 Film of the year.
4,"临年关总算看到部真喜剧！不过是期望没有屎尿屁，少点儿黄段子，不说教不挠胳肢窝，叫人笑几下泪几下，看完觉得生活特美好，关键是没人硬在""搞笑""…这要求不高吧？许多谐星一旦绷紧面皮演正剧，总有种淡淡感人的忧郁气质，本斯蒂勒的废柴小人物也格外惹好感，踩起滑板那是英姿飒爽！风光美得人捂心口！"
5,其实早就想到25号底片大概是什么了。预告片准确给到了全片精华，正片反而是收着来的，西恩·潘的点睛之笔看到热泪盈眶，可以说Ben作为导演不够商业甚至专业，但本片对生活本质的触碰却异常深刻，况且风景和原声也值回票价了……stop dreaming，start living，喊口号的有很多，能真正做到的又有多少呢
6,风景片，对了请问，格陵兰真的只有八个人吗
7,这种构想也只适合拍部短片，浅显幼稚的心灵鸡汤，激昂配乐+绝美风景就像尼康广告一样具有煽动性和迷惑性，本·斯蒂勒不是冷面而是面瘫。
8,还是前部分更有趣，大玩脑内小剧场，估计很多爱做白日梦的人都有这种体验吧。不过这个主题最终转向了必须走出去，just do it这种。世界风景无限好，宅男啥也干不了。太鸡汤，也太浅了
9,“认识世界，克服困难。洞悉所有，贴近生活。寻找真爱，感受彼此。这就是生活的意义”、“美好的东西从来不会寻求关注”上一部本·斯蒂勒自导自演还是08年《热带惊雷》，没想这部竟来了个如此大的转变与惊喜，走走停停，简单生活。“如果我很喜欢某个瞬间，只想享受在那一刻。Stay in it. Right here”
10,是时候让梦想照进现实了
11,"加缪说：“人生的意义，在于承担人生无意义的勇气。如果你一直在找人生的意义，你永远不会生活。”自勉。To see the world, things dangerous to come to. To see behind walls, to draw closer. To find each other and to feel. That is the purpose of life."
12,每个人都想突破自己的平淡生活，成就不凡冒险。不是每个人都有机会完成生命中的精彩，但有一种电影能让我们有那么片刻的怅然所失。
13,如果你见过格陵兰，喜马拉雅和冰岛的火山，就再不会被生活打败。
14,好题材喂狗了
15,本来是年度最期待，因为之前谈过一个类似的剧本，一个摄影师因为一个遗愿走遍世界各地，亲情一丝一缕的被维系，眼里是一片大陆的变迁。这片子的创意差不多，只是执行力太差，情节都是好莱坞这类电影中被用烂的陈词滥调，幸好还有剧本的那点想象力，主流的美式价值观注定也只能是心灵鸡汤了。★★★
16,美好从来不主动寻求关注。
17,有没有十颗星可以给！本斯蒂勒都成精了，Space Oddity那段不知道为什么看一次哭一次，可能是卢瑟的脑波正好对上了的关系吧
18,治愈老鸭汤，在我们忙于事业等等看上去很重要的东西的时候，还记不记得心里有过一片属于自己的白日梦乐土？寻找遗失的底片的过程也是寻找遗失的美好的过程，看完全片好像听老朋友娓娓道来了一个平淡却动人的故事，看完也明白地心引力，少年派为什么要减少剧情，因为人生没有那么多drama，韦格好美！
19,看完想去冰岛玩滑板
20,是时候让梦想照进现实了
21,"加缪说：“人生的意义，在于承担人生无意义的勇气。如果你一直在找人生的意义，你永远不会生活。”自勉。To see the world, things dangerous to come to. To see behind walls, to draw closer. To find each other and to feel. That is the purpose of life."
22,每个人都想突破自己的平淡生活，成就不凡冒险。不是每个人都有机会完成生命中的精彩，但有一种电影能让我们有那么片刻的怅然所失。
23,如果你见过格陵兰，喜马拉雅和冰岛的火山，就再不会被生活打败。
24,好题材喂狗了
25,本来是年度最期待，因为之前谈过一个类似的剧本，一个摄影师因为一个遗愿走遍世界各地，亲情一丝一缕的被维系，眼里是一片大陆的变迁。这片子的创意差不多，只是执行力太差，情节都是好莱坞这类电影中被用烂的陈词滥调，幸好还有剧本的那点想象力，主流的美式价值观注定也只能是心灵鸡汤了。★★★
26,美好从来不主动寻求关注。
27,有没有十颗星可以给！本斯蒂勒都成精了，Space Oddity那段不知道为什么看一次哭一次，可能是卢瑟的脑波正好对上了的关系吧
28,治愈老鸭汤，在我们忙于事业等等看上去很重要的东西的时候，还记不记得心里有过一片属于自己的白日梦乐土？寻找遗失的底片的过程也是寻找遗失的美好的过程，看完全片好像听老朋友娓娓道来了一个平淡却动人的故事，看完也明白地心引力，少年派为什么要减少剧情，因为人生没有那么多drama，韦格好美！
29,看完想去冰岛玩滑板
30,其实一个为网媒代替纸媒的说客能在电梯里哼出space oddity 也是件蛮有品位的事儿
31,"歌曲和原声俱佳，片头字幕有趣。特别喜欢肖恩潘的那句台词：“Sometimes I don't. If I like a moment, for me, personally, I don't like to have the distraction of the camera. I just want to stay in it.”送给所有在博物馆里只顾着拿长枪短炮咔嚓咔嚓而忘了用自己的眼睛去欣赏的人【UA太古城】"
32,在香港看的，跟一个很喜欢的人，现在想起这个片子就很幸福。
33,虽然还是太过罐头励志，缺乏细节，不少片段还是优美感人的。
34,这部电影对我的影响已经超过电影本身内容了，而且是在没看之前。『開拓視野，看見世界，貼近彼此，感受生活，這就是生活的目的』
35,只能看看风景，其他...就没有其他了。白日梦是噱头，到后面连噱头都省了！呸！
36,能让人思考人生方向的电影就是好电影！
37,《白日梦想家》下了一直没动，今晚点开就停不下来了，原来这么好玩，傻乎乎，浪漫漫，具有公路电影痕迹的轻松小品，心态非常好，音乐美、风光美，越看越舒服，最喜冰岛那一段，爱看《科学睡眠》《大鱼》这类电影的人，都去看吧。啥时候我们才能拍出这种毫无心机，脑力激荡，纯玩纯幻想的片子。
38,心灵鸡汤式风光喜剧。不知道为什么很感动却又想给低分...
39,白日梦电影，适合截图
40,其实一个为网媒代替纸媒的说客能在电梯里哼出space oddity 也是件蛮有品位的事儿
41,"歌曲和原声俱佳，片头字幕有趣。特别喜欢肖恩潘的那句台词：“Sometimes I don't. If I like a moment, for me, personally, I don't like to have the distraction of the camera. I just want to stay in it.”送给所有在博物馆里只顾着拿长枪短炮咔嚓咔嚓而忘了用自己的眼睛去欣赏的人【UA太古城】"
42,在香港看的，跟一个很喜欢的人，现在想起这个片子就很幸福。
43,虽然还是太过罐头励志，缺乏细节，不少片段还是优美感人的。
44,这部电影对我的影响已经超过电影本身内容了，而且是在没看之前。『開拓視野，看見世界，貼近彼此，感受生活，這就是生活的目的』
45,只能看看风景，其他...就没有其他了。白日梦是噱头，到后面连噱头都省了！呸！
46,能让人思考人生方向的电影就是好电影！
47,《白日梦想家》下了一直没动，今晚点开就停不下来了，原来这么好玩，傻乎乎，浪漫漫，具有公路电影痕迹的轻松小品，心态非常好，音乐美、风光美，越看越舒服，最喜冰岛那一段，爱看《科学睡眠》《大鱼》这类电影的人，都去看吧。啥时候我们才能拍出这种毫无心机，脑力激荡，纯玩纯幻想的片子。
48,心灵鸡汤式风光喜剧。不知道为什么很感动却又想给低分...
49,白日梦电影，适合截图
50,现实与幻想转场一瞬间联想到今 敏
51,只想要no25的原片
52,一碗标准的美式连锁快餐店心灵鸡汤，喝下去抵过五十个仁波切。缺乏生鲜口感，但却可迅速果腹。
53,给这片子挑毛病的话，那真是没法挑。因为到处是窟窿，到处都是硬伤，到处都是现实中几乎不可能发生的事情。但还是打五星因为喜欢啊，因为这就是表达内心任性的时刻嘛！画面好看，音乐好听，而且燃啊！真他妈的燃！PS：电影中出现的格陵兰冰岛喜马拉雅山竟然都是在冰岛取景的。
54,这片简直是为豆瓣er订制的……
55,3.5。1.重度意淫如同性高潮。2.奇妙空间格局促我想及塔蒂[玩乐时间]。3.胶片与水池的叠影。4.开拓视野，看见世界。5.返老还童一瞥+1。6.荒野徒旅后半场没啥意思，西恩潘打酱油也不够亮。7.致敬传统纸媒与日本[编舟记]异曲同工。
56,Remind me of a lot of beautiful things I haven't done... Thank you.
57,故事本身并没有亮点，Ben Stiller投机取巧，完全靠风景和Life杂志的精神遗产这一概念拉感情票。冰岛的风景在这部电影里就是花瓶的角色，一种被知识分子睡了还不能抗议的感觉。 角色过于自我中心，格陵兰、冰岛、喜马拉雅投影出的异国风情被利用了而已。另外格陵兰和喜马拉雅的部分都是冰岛取景。
58,三星半，本斯蒂勒告诉我们，屌丝梦想那么远又这么近。电影描写正是小人物的白日梦状态，真实又搞笑，故事发展有些过于教科书式励志，但结尾足够震撼。“发现”是电影主题，很贴切，把一个说教的故事拍得不说教，这是优点
59,Beautiful things do not ask for attentions.  献给那些，成就伟大瞬间背后的每一个人。迄今为止，看过在摄影取景上最严谨的两部片子，一是《国王的演讲》，再就是这部《白日梦想家》。每一贞的镜头，单独截下来，都可以做标准的摄影示范！本斯蒂勒，这个逗比，没想到了做了导演竟然功力如此了得！
60,现实与幻想转场一瞬间联想到今 敏
61,只想要no25的原片
62,一碗标准的美式连锁快餐店心灵鸡汤，喝下去抵过五十个仁波切。缺乏生鲜口感，但却可迅速果腹。
